# New
x2 = 0.068940, u = 3.257121, y_meas = 0.068940
x2 = 0.160075, u = 3.256943, y_meas = 0.160075
x2 = 0.243947, u = 3.256766, y_meas = 0.243947
x2 = 0.319971, u = 3.256590, y_meas = 0.319971
x2 = 0.388826, u = 3.256414, y_meas = 0.388826
x2 = 0.451186, u = 3.256239, y_meas = 0.451186
x2 = 0.507662, u = 3.256065, y_meas = 0.507662
x2 = 0.558810, u = 3.255892, y_meas = 0.558810
x2 = 0.605132, u = 3.255718, y_meas = 0.605132
x2 = 0.647082, u = 3.255546, y_meas = 0.647082
x2 = 0.685073, u = 3.255374, y_meas = 0.685073
x2 = 0.719478, u = 3.255202, y_meas = 0.719478
x2 = 0.750635, u = 3.255031, y_meas = 0.750635
x2 = 0.778850, u = 3.254860, y_meas = 0.778850
x2 = 0.804400, u = 3.254689, y_meas = 0.804400
x2 = 0.827536, u = 3.254519, y_meas = 0.827536

# Old
